Country code,Country name,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979,1978,1977,1976,1975,1974,1973,1972,1971,1970
MEX,MEXICO,,,9.0,,,,,,7.6,,,,,,,7.6,,,,,,,,,,9.8,6.1,,,,,,,,,,,,,,,,,,
MKD,MACEDONIA,,,,12.4,,,,,,16.2,7.9,,,,,9.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLI,MALI,,,,,,,,,4.7,,,,,3.1,,,,,2.1,,,,,,,,,0.5,,,,,,,,,,,,,,,,,
MMR,MYANMAR (Burma) ,,,,,2.6,,,,,,,2.4,,,2.4,,,11.6,,,,,,,,,,,,,,,,,,,,,,,,,,,
MNE,MONTENEGRO,,22.3,,,,,,,15.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MNG,MONGOLIA,,10.5,,,6.7,,,,,14.2,6.1,,,,12.7,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOZ,MOZAMBIQUE,,,,7.9,,,3.6,,,,,6.3,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
MRT,MAURITANIA,,,1.2,3.2,,,1.0,2.3,,,,,,3.8,,,,,,,,,,,6.8,,,,,,,,,,,,,,,,,,,,
MUS,MAURITIUS,,,,,,,,,,,,,,,,,,,,6.5,,,,,,,,,,8.8,,,,,,,,,,,,,,,
MWI,MALAWI,,,,,9.2,4.9,,,11.3,10.2,,,,,8.8,,,,,,,,9.9,,,,,,,,,,,,,,,,,,,,,,
MYS,MALAYSIA,,,,,,,,,,,,,,,,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NAM,NAMIBIA,,4.1,,,,,,4.6,,,,,,,3.3,,,,,,,,4.5,,,,,,,,,,,,,,,,,,,,,,
NER,NIGER,,,3.0,,,,,,3.5,,,,,,1.6,,1.2,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,
NGA,NIGERIA,1.8,4.9,,3.0,,,10.5,13.3,,,,6.2,,,,,,,,,,5.5,,,3.2,,,,,,,,,,,,,,,,,,,,
NIC,NICARAGUA,,,,,,,,6.2,,5.2,,,,7.1,,,4.0,,,,,5.7,,,,,,,,,,,3.8,,,,,,,,,,,,
NLD,NETHERLANDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3,,,,,,,,,,
NPL,NEPAL,,,,1.5,,,,,0.6,,,,,0.7,,,0.4,,1.0,1.2,,,,,,,,,,,,,,,,,,,,0.3,,,,,
NRU,NAURU,,,,,,,,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OMN,OMAN,,,,,,1.7,,,,,,,,,,1.6,,,,1.1,,,,5.5,,,,,,,,,,,,,,,,,,,,,
PAK,PAKISTAN,,4.8,,6.4,,,,,,,,,,4.8,,,,,,,1.6,,,5.4,,,,7.8,,,,,,,,,,6.2,,,,,,,
PAN,PANAMA,,,,,,,,,,,,,,,,,,6.2,,,,,,,,,,,,,,,,,6.9,,,,,,,,,,
PER,PERU,,,7.2,8.9,8.1,10.3,9.8,,,9.1,,,,,11.8,,,,9.9,,,,9.3,,,,,,,,,,,,,,,,,,,,,,
PHL,PHILIPPINES,,,,4.3,,,3.3,,,,,2.4,,,,,1.9,,,,,,1.7,,,,,,,,,,,,,,,,,0.8,,,,,
