Country code,Country name,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979,1978,1977,1976,1975,1974,1973,1972,1971,1970,1969,1968,1967,1966,1965,1964,1963,1962,1961,1960,1959,1958,1957,1956,1955,1954,1953,1952,1951,1950
KOR,"KOREA, REPUBLIC OF",1217973.0,,,,,1224385.0,,,,,1236127.0,,,,,1197335.0,,,,,1197157.0,,,,,1242002.0,,,,,1263415.0,,,,,1293364.0,,,,,1487602.0,,,,,1734213.0,,,,,1779831.0,,,,,1653855.0
KWT,KUWAIT,40559.0,,,,,32977.0,,,,,26754.0,,,,,24635.0,,,,,26931.0,,,,,27758.0,,,,,27019.0,,,,,24678.0,,,,,20146.0,,,,,14699.0,,,,,11748.0,,,,,11784.0
LAO,LAOS ,208254.0,,,,,214664.0,,,,,242443.0,,,,,273850.0,,,,,287631.0,,,,,279613.0,,,,,267871.0,,,,,255373.0,,,,,237706.0,,,,,222163.0,,,,,209856.0,,,,,198155.0
LBN,LEBANON,93809.0,,,,,93178.0,,,,,92163.0,,,,,94410.0,,,,,94038.0,,,,,95108.0,,,,,94575.0,,,,,93680.0,,,,,94590.0,,,,,95429.0,,,,,93551.0,,,,,92125.0
LBR,LIBERIA,185475.0,,,,,213583.0,,,,,179097.0,,,,,184393.0,,,,,196610.0,,,,,190542.0,,,,,179094.0,,,,,176638.0,,,,,171393.0,,,,,167222.0,,,,,156446.0,,,,,148040.0
LBY,LIBYA,121630.0,,,,,117060.0,,,,,113681.0,,,,,111847.0,,,,,112274.0,,,,,114327.0,,,,,119900.0,,,,,127923.0,,,,,140101.0,,,,,157847.0,,,,,183094.0,,,,,177360.0
LCA,SAINT LUCIA,5561.0,,,,,5814.0,,,,,5606.0,,,,,4960.0,,,,,3947.0,,,,,3797.0,,,,,4144.0,,,,,4571.0,,,,,5078.0,,,,,5607.0,,,,,6623.0,,,,,6914.0
LKA,SRI LANKA,701728.0,,,,,597055.0,,,,,716192.0,,,,,586108.0,,,,,544762.0,,,,,475271.0,,,,,480927.0,,,,,477907.0,,,,,514770.0,,,,,575923.0,,,,,655101.0,,,,,800295.0
LSO,LESOTHO,170206.0,,,,,177602.0,,,,,121530.0,,,,,83081.0,,,,,88644.0,,,,,89889.0,,,,,92512.0,,,,,91870.0,,,,,87308.0,,,,,81677.0,,,,,83332.0,,,,,86443.0
LTU,LITHUANIA,222237.0,,,,,211309.0,,,,,219494.0,,,,,216634.0,,,,,190244.0,,,,,184441.0,,,,,167692.0,,,,,146018.0,,,,,128168.0,,,,,119058.0,,,,,137311.0,,,,,162291.0
LUX,LUXEMBURG,19768.0,,,,,19142.0,,,,,19526.0,,,,,19494.0,,,,,19973.0,,,,,20762.0,,,,,21518.0,,,,,21421.0,,,,,20740.0,,,,,19412.0,,,,,19662.0,,,,,18691.0
LVA,LATVIA,162168.0,,,,,163399.0,,,,,175169.0,,,,,187058.0,,,,,162800.0,,,,,162649.0,,,,,155647.0,,,,,137958.0,,,,,122860.0,,,,,113009.0,,,,,116435.0,,,,,130126.0
MAC,MACAU,11903.0,,,,,10997.0,,,,,10160.0,,,,,9784.0,,,,,9768.0,,,,,9740.0,,,,,8588.0,,,,,8222.0,,,,,7826.0,,,,,8044.000000000001,,,,,8759.0,,,,,9823.0
MAR,MOROCCO,969147.0,,,,,901322.0,,,,,848310.0,,,,,848015.0,,,,,913196.0,,,,,1032564.0000000001,,,,,1126267.0,,,,,1140232.0,,,,,1146983.0,,,,,1151294.0,,,,,1100282.0,,,,,982805.0
