Country code,Country name,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979,1978,1977,1976,1975,1974,1973,1972,1971,1970,1969,1968,1967,1966,1965,1964,1963,1962,1961,1960,1959,1958,1957,1956,1955,1954,1953,1952,1951,1950
HRV,CROATIA (LOCAL NAME: HRVATSKA),-0.233,,,,,-0.39,,,,,-0.938,,,,,-0.436,,,,,0.95,,,,,0.759,,,,,0.582,,,,,0.491,,,,,0.194,,,,,0.35,,,,,0.384,,,,,0.672
HTI,HAITI,1.327,,,,,1.531,,,,,1.804,,,,,1.95,,,,,2.137,,,,,2.312,,,,,2.025,,,,,1.749,,,,,1.951,,,,,1.995,,,,,1.914,,,,,1.752
HUN,HUNGARY,-0.162,,,,,-0.252,,,,,-0.249,,,,,-0.064,,,,,-0.359,,,,,-0.349,,,,,0.409,,,,,0.375,,,,,0.341,,,,,0.336,,,,,0.348,,,,,1.025
IDN,INDONESIA,1.393,,,,,1.435,,,,,1.472,,,,,1.662,,,,,1.898,,,,,2.206,,,,,2.374,,,,,2.493,,,,,2.566,,,,,2.466,,,,,2.274,,,,,1.732
IMN,ISLE OF MAN,0.888,,,,,0.901,,,,,1.242,,,,,0.525,,,,,1.742,,,,,-0.204,,,,,1.323,,,,,1.438,,,,,2.236,,,,,0.917,,,,,-1.575,,,,,-1.057
IND,INDIA,1.346,,,,,1.566,,,,,1.732,,,,,1.907,,,,,2.114,,,,,2.238,,,,,2.326,,,,,2.28,,,,,2.176,,,,,2.043,,,,,1.894,,,,,1.664
IRL,IRELAND,1.436,,,,,1.781,,,,,1.04,,,,,0.447,,,,,-0.016,,,,,0.669,,,,,1.419,,,,,1.437,,,,,0.605,,,,,0.321,,,,,-0.505,,,,,-0.082
IRN,IRAN (ISLAMIC REPUBLIC OF),1.192,,,,,1.247,,,,,1.724,,,,,1.407,,,,,3.408,,,,,4.013,,,,,3.359,,,,,2.783,,,,,2.676,,,,,2.613,,,,,2.558,,,,,2.421
IRQ,IRAQ,2.461,,,,,2.799,,,,,3.12,,,,,3.01,,,,,2.349,,,,,2.635,,,,,3.114,,,,,3.278,,,,,3.38,,,,,2.778,,,,,2.285,,,,,2.568
ISL,ICELAND,1.386,,,,,1.075,,,,,1.003,,,,,0.967,,,,,1.082,,,,,1.132,,,,,0.912,,,,,1.285,,,,,1.225,,,,,1.821,,,,,2.156,,,,,1.99
ISR,ISRAEL,2.332,,,,,1.872,,,,,2.408,,,,,3.395,,,,,1.942,,,,,1.729,,,,,2.307,,,,,3.156,,,,,2.438,,,,,3.763,,,,,3.908,,,,,6.244
ITA,ITALY,0.617,,,,,0.583,,,,,0.007,,,,,0.048,,,,,0.021,,,,,0.195,,,,,0.405,,,,,0.653,,,,,0.714,,,,,0.766,,,,,0.568,,,,,0.747
JAM,JAMAICA,0.438,,,,,0.759,,,,,0.953,,,,,0.803,,,,,0.583,,,,,1.49,,,,,1.162,,,,,1.476,,,,,1.197,,,,,1.55,,,,,1.101,,,,,1.887
JOR,JORDAN,4.172,,,,,1.888,,,,,1.971,,,,,5.036,,,,,3.76,,,,,3.98,,,,,2.776,,,,,3.64,,,,,7.81,,,,,4.624,,,,,6.386,,,,,7.273
JPN,JAPAN,0.059,,,,,0.2,,,,,0.197,,,,,0.362,,,,,0.373,,,,,0.691,,,,,0.901,,,,,1.324,,,,,1.267,,,,,1.02,,,,,0.909,,,,,1.452
KAZ,KAZAKHSTAN,1.107,,,,,0.659,,,,,-1.294,,,,,-0.785,,,,,0.974,,,,,1.182,,,,,1.078,,,,,1.509,,,,,1.921,,,,,3.529,,,,,4.69,,,,,2.731
KEN,KENYA,2.676,,,,,2.688,,,,,2.639,,,,,3.13,,,,,3.523,,,,,3.788,,,,,3.75,,,,,3.622,,,,,3.376,,,,,3.185,,,,,2.99,,,,,2.771
KGZ,KYRGYZSTAN,1.125,,,,,0.35,,,,,1.52,,,,,0.88,,,,,1.814,,,,,2.022,,,,,1.898,,,,,2.138,,,,,2.829,,,,,3.388,,,,,2.654,,,,,1.786
KHM,CAMBODIA,1.456,,,,,1.774,,,,,2.532,,,,,3.462,,,,,3.047,,,,,2.984,,,,,-2.407,,,,,1.467,,,,,1.652,,,,,2.449,,,,,2.517,,,,,2.583
KIR,KIRIBATI,1.547,,,,,1.774,,,,,1.612,,,,,1.449,,,,,2.675,,,,,2.622,,,,,2.376,,,,,1.972,,,,,2.931,,,,,2.777,,,,,2.601,,,,,2.072
KNA,SAINT KITTS AND NEVIS,1.267,,,,,1.519,,,,,1.202,,,,,0.982,,,,,-0.572,,,,,-0.558,,,,,-0.491,,,,,-0.271,,,,,-1.842,,,,,-0.791,,,,,1.085,,,,,1.033
KOR,"KOREA, REPUBLIC OF",0.595,,,,,0.454,,,,,0.584,,,,,0.767,,,,,1.184,,,,,1.566,,,,,1.518,,,,,1.983,,,,,2.037,,,,,2.486,,,,,3.386,,,,,1.94
KWT,KUWAIT,5.29,,,,,3.724,,,,,3.677,,,,,-5.226,,,,,3.484,,,,,4.65,,,,,5.342,,,,,6.718,,,,,8.844,,,,,12.203,,,,,5.926,,,,,4.93
LAO,LAOS ,1.988,,,,,1.44,,,,,2.017,,,,,2.755,,,,,2.867,,,,,2.467,,,,,1.299,,,,,2.525,,,,,2.408,,,,,2.321,,,,,2.291,,,,,2.324
LBN,LEBANON,1.702,,,,,4.177,,,,,1.289,,,,,2.306,,,,,0.196,,,,,0.54,,,,,0.229,,,,,2.287,,,,,1.87,,,,,2.955,,,,,3.277,,,,,2.76
LBR,LIBERIA,3.82,,,,,2.456,,,,,6.592,,,,,-0.22,,,,,-0.88,,,,,2.988,,,,,3.003,,,,,2.746,,,,,2.499,,,,,2.238,,,,,2.072,,,,,1.651
LBY,LIBYA,1.535,,,,,1.554,,,,,1.729,,,,,2.168,,,,,2.609,,,,,3.888,,,,,3.907,,,,,3.975,,,,,3.856,,,,,3.617,,,,,3.026,,,,,1.957
LCA,SAINT LUCIA,1.4,,,,,1.05,,,,,1.304,,,,,1.243,,,,,1.78,,,,,1.381,,,,,1.443,,,,,1.049,,,,,1.569,,,,,1.376,,,,,0.735,,,,,0.914
LIE,LIECHTENSTEIN,0.779,,,,,0.971,,,,,1.421,,,,,1.397,,,,,1.062,,,,,1.047,,,,,1.976,,,,,1.942,,,,,2.628,,,,,2.442,,,,,2.14,,,,,1.501
LKA,SRI LANKA,0.794,,,,,1.139,,,,,0.652,,,,,1.032,,,,,1.372,,,,,1.464,,,,,1.778,,,,,1.937,,,,,2.323,,,,,2.327,,,,,2.273,,,,,1.79
LSO,LESOTHO,0.845,,,,,0.736,,,,,1.135,,,,,1.867,,,,,1.693,,,,,2.315,,,,,2.581,,,,,2.145,,,,,2.016,,,,,1.836,,,,,1.554,,,,,1.415
LTU,LITHUANIA,-1.375,,,,,-1.248,,,,,-0.728,,,,,-0.378,,,,,0.736,,,,,0.754,,,,,0.785,,,,,1.01,,,,,1.117,,,,,1.368,,,,,1.046,,,,,0.479
LUX,LUXEMBURG,2.074,,,,,0.973,,,,,1.325,,,,,1.335,,,,,0.796,,,,,0.155,,,,,0.56,,,,,0.826,,,,,0.568,,,,,0.967,,,,,0.601,,,,,0.617
LVA,LATVIA,-1.27,,,,,-1.252,,,,,-0.959,,,,,-1.367,,,,,0.625,,,,,0.539,,,,,0.454,,,,,0.757,,,,,0.903,,,,,1.174,,,,,1.132,,,,,0.666
MAC,MACAU,2.656,,,,,1.612,,,,,1.612,,,,,2.045,,,,,3.885,,,,,3.696,,,,,-0.16,,,,,-0.223,,,,,3.863,,,,,3.759,,,,,-1.133,,,,,-1.592
MAR,MOROCCO,0.983,,,,,0.962,,,,,1.352,,,,,1.677,,,,,2.044,,,,,2.359,,,,,2.258,,,,,2.108,,,,,2.434,,,,,2.674,,,,,3.206,,,,,3.119
MCO,MONACO,1.72,,,,,1.049,,,,,0.88,,,,,0.84,,,,,0.413,,,,,1.505,,,,,1.19,,,,,1.411,,,,,0.172,,,,,0.725,,,,,2.66,,,,,-0.345
