Country code,Country name,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979,1978,1977,1976,1975,1974,1973,1972,1971,1970,1969,1968,1967,1966
PSE,STATE OF PALESTINE,1.2,,,,3.3,,,1.8,,,,,9.4,,,,,,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QAT,QATAR,,,,,,,,,,,,,,,,,,,,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROU,ROMANIA,,,,,,,,,,,,,3.5,3.9,4.3,3.6,,,,,,,,3.3,,,,,,,,,,,,,,,,,,,,,,,,,
RWA,RWANDA,,,,3.0,,,,,,4.8,,,,,8.7,,,,10.8,,,,5.0,,,,,,,,,,,,,,,,6.5,,,,,,,,,,
SAU,SAUDI ARABIA,,,,,,,,,,11.8,,,,,,,,,,,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SDN,SUDAN,16.3,,,,,,,,14.5,,,,,,17.8,,,,,18.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEN,SENEGAL,5.7,8.9,8.7,9.8,,,,,,8.7,,,,,10.0,,,,8.2,,,9.4,6.8,,,,,,5.4,,,,,,,,,,,,,,,,,,,,
SGP,SINGAPORE,,,,,,,,,,,,,,,3.6,,,,,,,,,,,,,,,,,,,,,,,7.7,,,,,,,,,,,
SLB,SOLOMON ISLANDS,,,,,,,,4.3,,,,,,,,,,,,,,,,,,7.4,,,,,,,,,,,,,,,,,,,7.9,,,,
SLE,SIERRA LEONE,,9.4,,,9.2,,10.5,,,10.2,,,,,11.6,,,,,,,,,,10.2,8.4,,,,,,,,,,,6.1,,,19.7,,,,,,,,,
SLV,EL SALVADOR,,,,,,,1.6,,,,,1.3,,,,,1.5,,,,,1.4,,,,,2.2,,,,,,,,,,,,,1.6,,,,,,,,,
SOM,SOMALIA,,,,,,15.0,,,13.2,,,,,,19.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRB,SERBIA,3.9,,,,3.5,,,,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SSD,SOUTH SUDAN,,,,,22.7,,,,24.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP,SAO TOME AND PRINCIPE,,,,,,11.2,,,9.6,,,,,,3.9,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,
SUR,SURINAME,,,,,5.0,,,,4.9,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWZ,SWAZILAND,,,,,0.8,,1.1,2.9,,,,,,,1.7,,,,,,,,,,,,,,,,1.3,,,,,,,,,,,,,,,,,,
SYC,SEYCHELLES,,,4.3,,,,,,,,,,,,,,,,,,,,,,,,2.7,,,,,,,,,,,,,,,,,,,,,,
SYR,SYRIAN ARAB REPUBLIC,,,,,,11.5,,,10.3,,,,,10.3,4.9,,,,,10.4,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
TCD,CHAD,,,,,15.7,,,,,,16.1,,,,13.9,,,16.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TGO,TOGO,,,,,4.8,,6.0,,16.3,,,,,,,,13.9,,,,,,,,,,5.5,,,,,,,,,,,5.5,,,,,,,,,,,
THA,THAILAND,,,6.7,,,,,,4.7,,,,,,,,,,,6.7,,7.3,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,
TJK,TAJIKISTAN,,,9.9,,,4.3,,6.7,,8.7,,5.9,6.1,19.4,9.4,11.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TKM,TURKMENISTAN,,,,,,,,,,,,,,,7.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
