Country code,Country name,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
TGO,TOGO,1130251.0,882430.0,697374.0,519450.0,617101.0,391338.0,344862.0,221110.0,,,,,,,
THA,THAILAND,37921.0,33302.0,32569.0,24897.0,32480.0,29462.0,28569.0,33178.0,30294.0,29782.0,26690.0,37355.0,44555.0,63528.0,78561.0
TJK,TAJIKISTAN,2.0,3.0,18.0,65.0,111.0,164.0,318.0,635.0,1316.0,2309.0,3588.0,5428.0,6160.0,11387.0,19064.0
TKM,TURKMENISTAN,,,,,0.0,0.0,0.0,0.0,1.0,1.0,3.0,7.0,18.0,8.0,24.0
TLS,EAST TIMOR,342.0,1025.0,5211.0,19739.0,48137.0,47527.0,51260.0,52813.0,37896.0,43093.0,39164.0,33411.0,26651.0,,15212.0
TUR,TURKEY,0.0,0.0,0.0,0.0,0.0,38.0,166.0,313.0,767.0,2084.0,5302.0,9222.0,10224.0,10812.0,11432.0
TZA,"TANZANIA, UNITED REPUBLIC OF",680807.0,1552444.0,1986955.0,2150761.0,1278998.0,3242.0,4585.0,1845917.0,1928296.0,2764049.0,2502382.0,1976614.0,42468.0,38537.0,17734.0
UGA,UGANDA,3631939.0,1502362.0,2662258.0,231873.0,1581160.0,1301337.0,979298.0,1045378.0,867398.0,1104310.0,879032.0,801784.0,557159.0,,
UZB,UZBEKISTAN,0.0,0.0,0.0,0.0,3.0,0.0,7.0,30.0,73.0,102.0,66.0,74.0,74.0,77.0,126.0
VEN,VENEZUELA,90708.0,78643.0,52803.0,45824.0,45155.0,35828.0,32037.0,41749.0,37062.0,45049.0,46655.0,31719.0,29491.0,20006.0,29736.0
VNM,VIET NAM,15752.0,17128.0,19638.0,16612.0,17515.0,16130.0,11355.0,16389.0,22637.0,19496.0,24909.0,38790.0,47807.0,68699.0,74316.0
VUT,VANUATU,982.0,2381.0,3435.0,4820.0,8169.0,4189.0,3765.0,5471.0,8055.0,9834.0,14653.0,15240.0,14339.0,7647.0,6768.0
YEM,YEMEN,67513.0,102778.0,109908.0,90410.0,106697.0,55446.0,44206.0,67677.0,55000.0,44150.0,48756.0,50811.0,75508.0,,1394495.0
ZAF,SOUTH AFRICA,11705.0,8645.0,5629.0,9866.0,8060.0,6072.0,7796.0,6327.0,12098.0,7755.0,13399.0,13459.0,15649.0,26506.0,
ZMB,ZAMBIA,4077547.0,,,,,0.0,0.0,0.0,,,,,,,
ZWE,ZIMBABWE,535931.0,422633.0,276963.0,319935.0,249379.0,114028.0,32788.0,116518.0,39404.0,37908.0,33980.0,,,,
