Country code,Country name,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979,1978,1977,1976,1975,1974,1973,1972,1971,1970
SLB,SOLOMON ISLANDS,,,,,,,,,,,,,,,,,,,,,,,,,,2.3,,,,,,,,,,,,,,,,,,,4.1
SLE,SIERRA LEONE,,8.8,,,9.9,,10.3,,,6.3,,,,,5.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SLV,EL SALVADOR,,,,,,,6.3,,,,,6.6,,,,,4.6,,,,,4.1,,,,,3.8,,,,,,,,,,,,,,,,,,
SOM,SOMALIA,,,,,,2.8,,,4.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRB,SERBIA,,,,,16.6,,,,20.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SSD,SOUTH SUDAN,,,,,6.1,,,,10.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP,SAO TOME AND PRINCIPE,,,,,,11.1,,,,,,,,,9.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUR,SURINAME,,,,,5.0,,,,4.6,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWZ,SWAZILAND,,,,,10.1,,,11.8,,,,,,,15.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SYR,SYRIAN ARAB REPUBLIC,,,,,,17.8,,,19.2,,,,,20.3,,,,,,,,15.6,,,,,,,,,,,,,,,,,,,,,,,
TCD,CHAD,,,,,2.6,,,,,,4.5,,,,3.1,,,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
TGO,TOGO,,,,,1.9,,,,4.2,,,,,,,,3.1,,,,,,,,,,3.9,,,,,,,,,,,,,,,,,,
THA,THAILAND,,,10.1,,,,,,8.8,,,,,,,,,,,,,,,,,,,1.5,,,,,,,,,,,,,,,,,
TJK,TAJIKISTAN,,,6.9,,,4.3,,,,7.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TLS,EAST TIMOR,,,,,6.0,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TON,TONGA,,,18.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TTO,TRINIDAD AND TOBAGO,,,,,,,,,,,,,,,3.8,,,,,,,,,,,,,4.3,,,,,,,,,,,,,,,,,
TUN,TUNISIA,,,14.8,,,,,,8.5,,,,,,,,,,,25.8,,,,,,,4.4,,,,,,,,,,,,,5.1,,,,,
TUR,TURKEY,11.7,,,,,,,,,,10.6,,,,,,4.4,,,,,5.7,,,,,,,,,,,,,,,,,,,,,,,
TZA,"TANZANIA, UNITED REPUBLIC OF",,,,,6.0,,,,,5.5,,,,,,4.7,,,5.0,,,,5.9,,,,,,,,,,,,,,,,,,,,,,
UGA,UGANDA,,,,4.5,,,,,5.0,,,,,5.3,,,,,,5.6,,,,,,3.6,,,,,,,,,,,,,,,,,,,
UKR,UKRAINE,,,,,,,,,,,,,,,27.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
URY,URUGUAY,,,,7.8,,,,9.5,,,10.1,13.4,10.2,,,10.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,UNITED STATES,,,5.2,,9.1,,,,7.5,,7.9,,7.1,,,,,,,,5.8,,,,,,,,,,,,,,,,,,,,,,,,
UZB,UZBEKISTAN,,,,,,,,,13.1,,,,11.5,,,,,,18.2,,,,,,,,,,,,,,,,,,,,,,,,,,
VNM,VIET NAM,,,,5.5,,,3.4,3.2,3.5,2.9,3.0,2.4,2.8,,2.4,2.0,,,,,,3.2,,,,,,,,,,,,,,,,,,,,,,,
VUT,VANUATU,,,,,,,,5.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YEM,YEMEN,,,,1.4,,,,,,,,4.6,,,,,,3.7,,,,,4.7,,,,,,,,,,,,,,,,,,,,,,
ZAF,SOUTH AFRICA,,,,,,,,,,20.6,20.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZMB,ZAMBIA,,,,,,,,8.6,,,,,6.4,,,11.8,,6.3,,,,,5.2,,,,,,,,,,,,,,,,,,,,,,
ZWE,ZIMBABWE,,,,6.7,,4.3,,,9.5,,,,,,,11.0,,,,,7.5,,,,,,6.8,,,,,,,,,,,,,,,,,,
