Country code,Country name,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980
CPV,CAPE VERDE,6210.0,6090.0,5960.0,5620.0,5600.0,5640.0,5230.0,4350.0,3960.0,3680.0,3300.0,3140.0,3030.0,2910.0,2570.0,2330.0,2100.0,1890.0,1710.0,1510.0,1280.0,1190.0,1070.0,1050.0,1000.0,920.0,840.0,780.0,740.0,670.0,630.0,570.0,560.0,460.0
CRI,COSTA RICA,13570.0,13150.0,12510.0,11830.0,11110.0,11570.0,11010.0,10440.0,9360.0,8600.0,8000.0,7650.0,7360.0,6990.0,6590.0,6720.0,6380.0,6110.0,6080.0,5910.0,5590.0,5210.0,4730.0,4580.0,4020.0,3800.0,3650.0,3410.0,3210.0,3150.0,2880.0,2550.0,2820.0,2900.0
CUB,CUBA,,,18520.0,17660.0,17020.0,16630.0,15650.0,14280.0,12330.0,10740.0,9920.0,9370.0,9150.0,8660.0,8040.0,7500.0,7420.0,7120.0,6490.0,6280.0,6140.0,7090.0,7870.0,8570.0,,,,,,,,,,
CYP,CYPRUS,27630.0,28850.0,30800.0,29990.0,30170.0,31190.0,26380.0,25080.0,23400.0,22210.0,21350.0,20670.0,19800.0,18180.0,17360.0,18220.0,15790.0,15470.0,15090.0,14680.0,13900.0,13790.0,12710.0,12520.0,11450.0,10340.0,9300.0,8430.0,8060.0,7540.0,6750.0,6280.0,5660.0,5140.0
CZE,CZECH REPUBLIC,26970.0,26870.0,26410.0,25020.0,25120.0,25350.0,24980.0,22930.0,21280.0,20020.0,18960.0,17680.0,17160.0,15990.0,15120.0,14780.0,14710.0,14500.0,13720.0,12760.0,12140.0,11780.0,,,,,,,,,,,,
DEU,GERMANY,45010.0,44670.0,43160.0,40390.0,37960.0,38850.0,37350.0,35320.0,32460.0,30890.0,29070.0,28060.0,27440.0,26420.0,25540.0,24680.0,24100.0,23640.0,23060.0,22340.0,21500.0,21430.0,20720.0,19360.0,17270.0,16120.0,15010.0,14430.0,13840.0,13090.0,12180.0,11470.0,10850.0,9900.0
DJI,DJIBOUTI,,,,,,,,,2180.0,2080.0,1950.0,1780.0,1730.0,1690.0,1670.0,1630.0,1650.0,1670.0,1750.0,1800.0,1840.0,1950.0,1960.0,,,,,,,,,,,
DMA,DOMINICA,10060.0,9970.0,10120.0,9970.0,9690.0,9620.0,8730.0,8100.0,7190.0,6910.0,6630.0,6020.0,6110.0,5660.0,5630.0,5700.0,5290.0,5030.0,4910.0,4750.0,4690.0,4490.0,4290.0,4180.0,4600.0,4490.0,3930.0,3580.0,3140.0,3090.0,2850.0,2670.0,2420.0,1970.0
DNK,DENMARK,45300.0,44590.0,44220.0,42500.0,40020.0,41290.0,38870.0,37640.0,34340.0,33300.0,31070.0,31230.0,29820.0,28960.0,27310.0,26340.0,25360.0,24180.0,23140.0,22020.0,20480.0,19950.0,19110.0,18320.0,17070.0,16420.0,15930.0,15400.0,14330.0,13390.0,12440.0,11630.0,10630.0,9890.0
DOM,DOMINICAN REPUBLIC,11630.0,11190.0,10860.0,10520.0,9680.0,9640.0,9170.0,8340.0,7380.0,6460.0,6410.0,6550.0,6190.0,6040.0,5670.0,5340.0,5020.0,4650.0,4310.0,4070.0,3940.0,3720.0,3360.0,3270.0,2730.0,2530.0,2470.0,2250.0,2120.0,2220.0,2160.0,2030.0,1910.0,1730.0
DZA,ALGERIA,13070.0,12860.0,12490.0,12230.0,11790.0,11740.0,11430.0,10670.0,10270.0,9570.0,9100.0,8420.0,8030.0,7450.0,7240.0,7060.0,6720.0,6590.0,6340.0,6170.0,6270.0,6330.0,6200.0,6320.0,4100.0,3880.0,3940.0,3970.0,3970.0,3830.0,3620.0,3400.0,3110.0,2850.0
ECU,ECUADOR,10720.0,10260.0,9730.0,8990.0,8670.0,8670.0,8010.0,7760.0,7310.0,6800.0,6260.0,6100.0,5820.0,5450.0,5430.0,5890.0,5790.0,5550.0,5480.0,5350.0,5110.0,4970.0,4800.0,4490.0,3940.0,3850.0,3640.0,3670.0,3570.0,3460.0,3370.0,3340.0,3240.0,2890.0
EGY,EGYPT,10790.0,10610.0,10360.0,10200.0,9950.0,9660.0,9000.0,8300.0,7600.0,7170.0,6820.0,6610.0,6520.0,6250.0,5900.0,5590.0,5390.0,5080.0,4800.0,4540.0,4300.0,4160.0,3960.0,3800.0,2170.0,2050.0,1910.0,1680.0,1660.0,1590.0,1480.0,1350.0,1180.0,1080.0
ERI,ERITREA,1180.0,1190.0,1130.0,1050.0,1050.0,1040.0,1170.0,1160.0,1180.0,1150.0,1150.0,1220.0,1220.0,1150.0,1210.0,1230.0,1220.0,1130.0,1060.0,1010.0,820.0,710.0,,,,,,,,,,,,
ESP,SPAIN,32870.0,32490.0,32120.0,31900.0,32210.0,32820.0,32010.0,30340.0,27470.0,26200.0,25130.0,24390.0,22970.0,21790.0,20200.0,19230.0,18030.0,17030.0,16360.0,15430.0,15000.0,14790.0,14390.0,13600.0,12250.0,11250.0,10380.0,9580.0,9090.0,8590.0,8170.0,7770.0,7280.0,6750.0
EST,ESTONIA,24920.0,23320.0,22050.0,19740.0,19340.0,21020.0,20170.0,18130.0,15830.0,13940.0,12570.0,11330.0,10110.0,9390.0,8650.0,8360.0,7780.0,6960.0,6320.0,,,,,,,,,,,,,,,
ETH,ETHIOPIA,1380.0,1260.0,1170.0,1060.0,950.0,890.0,810.0,730.0,650.0,580.0,510.0,530.0,530.0,490.0,470.0,450.0,470.0,470.0,420.0,400.0,390.0,350.0,390.0,420.0,380.0,380.0,380.0,340.0,310.0,350.0,360.0,330.0,310.0,
FIN,FINLAND,39860.0,40260.0,40430.0,38810.0,38020.0,39770.0,37600.0,34840.0,32190.0,31310.0,28640.0,28510.0,27520.0,26310.0,24260.0,22830.0,21270.0,19390.0,18740.0,17490.0,16420.0,16340.0,16850.0,17610.0,16500.0,15330.0,14100.0,13280.0,12660.0,11910.0,11170.0,10500.0,9680.0,8820.0
FJI,FIJI,7590.0,7160.0,7000.0,6740.0,6710.0,6680.0,6570.0,6400.0,6470.0,6170.0,5710.0,5600.0,5260.0,5210.0,4940.0,4510.0,4520.0,4610.0,4340.0,4090.0,3920.0,3800.0,3560.0,3550.0,2230.0,2010.0,1940.0,2030.0,1860.0,1890.0,1720.0,1750.0,1840.0,1620.0
FRA,FRANCE,38180.0,37910.0,38180.0,36600.0,35430.0,35890.0,34750.0,32940.0,30910.0,29460.0,28440.0,28790.0,27910.0,26470.0,24750.0,23650.0,22520.0,21510.0,20810.0,20040.0,19290.0,19020.0,18360.0,17630.0,16120.0,15020.0,13980.0,13300.0,12750.0,12190.0,11670.0,11220.0,10430.0,9500.0
FSM,"MICRONESIA, FEDERATED STATES OF",3680.0,3670.0,3540.0,3390.0,3330.0,3160.0,3200.0,3140.0,3040.0,2860.0,2840.0,2730.0,2680.0,2580.0,2400.0,2340.0,2400.0,2390.0,2440.0,2380.0,2380.0,,,,,,,,,,,,,
GAB,GABON,17230.0,16500.0,15410.0,14480.0,14240.0,14350.0,14110.0,13130.0,13370.0,12070.0,12560.0,12590.0,12210.0,11700.0,12390.0,13870.0,13290.0,12690.0,12340.0,12020.0,11310.0,11100.0,11870.0,11110.0,9410.0,8440.0,7410.0,8950.0,9060.0,9350.0,8380.0,7840.0,7830.0,6870.0
GBR,UNITED KINGDOM,37970.0,37270.0,36970.0,36320.0,36350.0,37820.0,37780.0,37210.0,35320.0,33670.0,31680.0,30440.0,28950.0,27500.0,25100.0,24780.0,23720.0,22100.0,20840.0,20200.0,18910.0,18080.0,17530.0,17200.0,15410.0,14610.0,13440.0,12510.0,11740.0,11130.0,10450.0,9640.0,8930.0,8270.0
GEO,GEORGIA,7020.0,6760.0,6140.0,5710.0,5420.0,5610.0,5450.0,4790.0,4240.0,3810.0,3450.0,3030.0,2830.0,2690.0,2600.0,2470.0,2310.0,1900.0,1600.0,1530.0,1660.0,2330.0,4200.0,5190.0,5010.0,5220.0,4820.0,4670.0,5010.0,4680.0,4310.0,4010.0,3740.0,3270.0
GHA,GHANA,3900.0,3540.0,3340.0,2950.0,2800.0,2740.0,2540.0,2380.0,2220.0,2060.0,1950.0,1870.0,1800.0,1720.0,1680.0,1620.0,1570.0,1510.0,1460.0,1400.0,1370.0,1320.0,1270.0,1200.0,630.0,600.0,550.0,520.0,510.0,490.0,450.0,470.0,480.0,410.0
GIN,GUINEA,1160.0,1140.0,1100.0,1060.0,1030.0,1040.0,1030.0,980.0,980.0,960.0,930.0,980.0,910.0,880.0,860.0,820.0,800.0,770.0,750.0,730.0,720.0,700.0,690.0,690.0,550.0,540.0,510.0,480.0,,,,,,
GMB,GAMBIA,1610.0,1560.0,1490.0,1580.0,1510.0,1460.0,1390.0,1340.0,1330.0,1350.0,1230.0,1170.0,1240.0,1190.0,1140.0,1090.0,1080.0,1050.0,1040.0,1030.0,1030.0,1010.0,980.0,900.0,1060.0,1090.0,1060.0,870.0,980.0,1040.0,940.0,880.0,870.0,800.0
GNB,GUINEA-BISSAU,1410.0,1410.0,1460.0,1340.0,1280.0,1250.0,1230.0,1180.0,1130.0,1080.0,1040.0,1040.0,1030.0,1020.0,940.0,930.0,1330.0,1230.0,1110.0,1070.0,1040.0,1020.0,1000.0,970.0,760.0,710.0,680.0,680.0,770.0,660.0,590.0,600.0,550.0,420.0
GNQ,EQUATORIAL GUINEA,23270.0,24660.0,27660.0,28070.0,33680.0,25870.0,28720.0,28400.0,16380.0,9260.0,7460.0,8080.0,6080.0,6030.0,6670.0,5050.0,4660.0,1740.0,1100.0,1040.0,1080.0,1000.0,740.0,730.0,1290.0,1310.0,1280.0,1230.0,1300.0,,,,,
GRC,GREECE,25660.0,25620.0,25950.0,28310.0,29720.0,29900.0,28250.0,27450.0,25160.0,24870.0,23510.0,22510.0,20850.0,19190.0,17830.0,17510.0,17020.0,16120.0,15650.0,15120.0,14630.0,14710.0,14390.0,13590.0,12370.0,11520.0,10740.0,10650.0,10460.0,9970.0,9560.0,9390.0,8990.0,8460.0
