Country code,Country name,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979,1978,1977,1976,1975,1974,1973,1972,1971,1970,1969,1968,1967,1966,1965,1964,1963,1962,1961,1960,1959,1958,1957,1956,1955,1954,1953,1952,1951,1950
COM,COMOROS,35.0,40.0,120.0,,184.0,,104.0,41.0,26.0,,0.0,16.0,,,14.0,81.0,,199.0,,,,,0.0,,3.0,,24.0,,2.0,,33.0,,0.0,,,,1.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,500.0,
CPV,CAPE VERDE,,,,,9.0,,57.0,,,0.0,,0.0,,,18.0,0.0,,,0.0,245.0,,0.0,,,,0.0,,,,29.0,,3.0,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
CRI,COSTA RICA,,8.0,4.0,27.0,31.0,11.0,19.0,,21.0,10.0,3.0,10.0,0.0,34.0,9.0,8.0,,60.0,0.0,2.0,12.0,0.0,48.0,24.0,,35.0,,,,0.0,12.0,,,1.0,,,,0.0,2.0,,21.0,,,24.0,7.0,87.0,,,,,15.0,,,,,,,,,,,,,
CUB,CUBA,,14.0,45.0,68.0,14.0,7.0,54.0,2.0,51.0,4.0,30.0,32.0,5.0,2.0,18.0,29.0,116.0,3.0,26.0,22.0,51.0,359.0,190.0,7.0,195.0,50.0,0.0,0.0,4.0,,15.0,24.0,0.0,3.0,,6.0,7.0,1.0,,,,,,20.0,,0.0,,5.0,,0.0,1750.0,,,,,,,,,,,,,
CYM,CAYMAN ISLANDS,,,,,,0.0,,,,2.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CYP,CYPRUS,,,13.0,,,,4.0,,31.0,0.0,0.0,,,5.0,,52.0,,0.0,2.0,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,,0.0,3.0,,,,,,,,,,,,,,,,40.0,,,
CZE,CZECH REPUBLIC,7.0,32.0,,23.0,15.0,12.0,4.0,6.0,16.0,,437.0,20.0,,0.0,,6.0,29.0,1.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEU,GERMANY,4.0,20.0,14.0,39.0,15.0,29.0,32.0,51.0,14.0,2.0,9370.0,120.0,6.0,31.0,30.0,105.0,30.0,39.0,5.0,13.0,11.0,33.0,28.0,64.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DJI,DJIBOUTI,,,,0.0,13.0,0.0,6.0,132.0,0.0,51.0,,1.0,,4.0,0.0,43.0,29.0,0.0,0.0,155.0,0.0,,,,10.0,0.0,,,,,0.0,,25.0,0.0,63.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
DMA,DOMINICA,,,0.0,,,,2.0,,,0.0,,,3.0,,0.0,11.0,,,2.0,,,,,,0.0,,,,,2.0,,,,0.0,40.0,,,,,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,
DNK,DENMARK,,,,0.0,,,0.0,,4.0,1.0,,1.0,0.0,,7.0,,,,,,,0.0,0.0,1.0,55.0,,,,0.0,0.0,2.0,,9.0,0.0,,,,0.0,,,35.0,,,,,,,,,,,,,,,,,,,,,,,
