Country code,Country name,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980
HND,HONDURAS,3426.0,3368.0,3379.0,3363.0,3500.0,3446.0,3255.0,3120.0,,,,,2829.0,,,,,,,,,,2437.0,,,,,,,,,,2660.0
HRV,CROATIA (LOCAL NAME: HRVATSKA),15419.0,15597.0,15579.0,15642.0,16738.0,16500.0,15627.0,14930.0,,,,,12140.0,,,,,,,,,,13283.0,,,,,,,,,,
HTI,HAITI,1070.0,1039.0,1006.0,1065.0,1049.0,1078.0,894.0,1040.0,,,,,1086.0,,,,,,,,,,1459.0,,,,,,,,,,1828.0
HUN,HUNGARY,16088.0,16215.0,16137.0,15975.0,16752.0,16473.0,16709.0,16060.0,,,,,12991.0,,,,,,,,,,12539.0,,,,,,,,,,11146.0
IDN,INDONESIA,4154.0,3973.0,3775.0,3564.0,3445.0,3267.0,3100.0,2950.0,,,,,2390.0,,,,,,,,,,1911.0,,,,,,,,,,1278.0
IND,INDIA,3285.0,3175.0,3009.0,2798.0,2616.0,2561.0,2364.0,2190.0,,,,,1702.0,,,,,,,,,,1191.0,,,,,,,,,,880.0
IRL,IRELAND,28671.0,28508.0,29832.0,30176.0,34053.0,35653.0,35069.0,33550.0,,,,,28854.0,,,,,,,,,,16941.0,,,,,,,,,,13273.0
IRN,IRAN (ISLAMIC REPUBLIC OF),10695.0,10936.0,10834.0,10390.0,10316.0,10177.0,9503.0,9060.0,,,,,7507.0,,,,,,,,,,6189.0,,,,,,,,,,7226.0
IRQ,IRAQ,3557.0,3307.0,3117.0,3190.0,3104.0,2853.0,2838.0,2670.0,,,,,,,,,,,,,,,,,,,,,,,,,
ISL,ICELAND,29176.0,28657.0,26994.0,27391.0,28762.0,35058.0,33601.0,33630.0,,,,,29046.0,,,,,,,,,,24776.0,,,,,,,,,,21417.0
ISR,ISRAEL,26224.0,26034.0,25245.0,24594.0,25126.0,25057.0,24086.0,23100.0,,,,,21189.0,,,,,,,,,,17448.0,,,,,,,,,,14520.0
ITA,ITALY,26158.0,26890.0,26944.0,26605.0,28145.0,28993.0,28824.0,28290.0,,,,,27505.0,,,,,,,,,,23367.0,,,,,,,,,,18859.0
JAM,JAMAICA,6701.0,6667.0,6585.0,6563.0,6804.0,6881.0,6900.0,6780.0,,,,,6319.0,,,,,,,,,,5405.0,,,,,,,,,,4693.0
