Country code,Country name,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990
JPN,JAPAN,9.5,8.1,7.9,10.8,11.3,11.3,9.4,9.4,9.4,9.0,7.1,7.1,7.3,7.3,7.3,4.6,4.8,4.6,4.6,,,,,,,1.4
KAZ,KAZAKHSTAN,26.2,25.2,24.3,24.3,17.8,17.8,15.9,15.9,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,13.4,13.4,13.4,,,,,,,
KEN,KENYA,19.7,19.1,9.8,9.8,9.8,9.8,9.8,7.2,7.3,7.1,7.1,7.1,7.1,3.6,3.6,3.6,3.6,,3.0,,,,,,,1.1
KGZ,KYRGYZSTAN,23.3,23.3,23.3,23.3,23.3,25.6,25.6,25.6,0.0,0.0,10.0,10.0,10.0,10.0,2.3,1.4,1.4,1.4,1.4,,,,,,,
KHM,CAMBODIA,20.3,20.3,20.3,20.3,21.1,21.1,16.3,19.5,9.8,9.8,9.8,9.8,7.4,7.4,7.4,8.2,,5.8,5.8,,,,,,,
KIR,KIRIBATI,8.7,8.7,8.7,8.7,4.3,4.3,4.3,4.3,7.1,4.8,4.8,4.8,4.8,4.8,4.9,4.9,0.0,0.0,0.0,,,,,,,0.0
KNA,SAINT KITTS AND NEVIS,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,0.0,0.0,0.0,13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.3,,,,,,,6.7
KOR,"KOREA, REPUBLIC OF",16.3,15.7,15.7,14.7,14.7,14.7,13.7,14.4,13.4,13.4,13.0,5.5,5.9,5.9,5.9,3.7,3.7,3.0,3.0,,,,,,,2.0
KWT,KUWAIT,1.5,4.6,6.2,7.7,7.7,7.7,3.1,1.5,1.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
LAO,LAOS ,25.0,25.0,25.0,25.0,25.2,25.2,25.2,25.2,25.2,22.9,22.9,22.9,22.9,21.2,21.2,21.2,21.2,,9.4,,,,,,,6.3
LBN,LEBANON,3.1,3.1,3.1,3.1,3.1,3.1,4.7,4.7,4.7,4.7,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,,,,,,,0.0
LBR,LIBERIA,11.0,11.0,11.0,9.6,12.5,12.5,12.5,12.5,12.5,12.5,5.3,7.8,7.8,7.8,7.8,,,,5.7,,,,,,,
LBY,LIBYA,16.0,16.5,16.5,,7.7,7.7,7.7,7.7,7.7,4.7,,,,,,,,,,,,,,,,
LCA,SAINT LUCIA,16.7,16.7,16.7,16.7,11.1,11.1,11.1,11.1,5.6,11.1,11.1,11.1,11.1,,11.1,11.1,11.8,11.8,0.0,,,,,,,0.0
LIE,LIECHTENSTEIN,20.0,20.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,12.0,12.0,12.0,12.0,4.0,4.0,4.0,4.0,8.0,,,,,,,4.0
LKA,SRI LANKA,5.8,5.8,5.8,5.8,5.3,5.8,5.8,5.8,4.9,4.9,4.9,4.4,4.4,,,4.9,5.3,5.3,5.3,,,,,,,4.9
