Country code,Country name,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979,1978,1977,1976,1975,1974,1973,1972,1971,1970,1969,1968,1967,1966,1965,1964,1963,1962,1961,1960
CHL,CHILE,110.663,113.436,116.3034,119.1708,122.0382,124.9056,127.773,129.2724,130.7718,132.2712,133.7706,135.27,138.923,142.576,146.229,149.882,153.535,155.8528,158.1706,160.4884,162.8062,165.124,171.1182,177.1124,183.1066,189.1008,195.095,202.5956,210.0962,217.5968,225.0974,232.598,239.629,246.66,253.691,260.722,267.753,274.9512,282.1494,289.3476,296.5458,303.744,308.3526,312.9612,317.5698,322.1784,326.787,328.179,329.571,330.963,332.355,333.747,335.157,336.567
CHN,CHINA,101.5344,103.205,106.3384,109.4718,112.6052,115.7386,118.872,121.2896,123.7072,126.1248,128.5424,130.96,137.1804,143.4008,149.6212,155.8416,162.062,163.436,164.81,166.184,167.558,168.932,170.364,171.796,173.228,174.66,176.092,177.584,179.076,180.568,182.06,183.552,185.1058,186.6596,188.2134,189.7672,191.321,192.9388,194.5566,196.1744,197.7922,199.41,208.9154,218.4208,227.9262,237.4316,246.937,307.024,367.111,427.198,487.285,547.372,534.9078,522.4436
CIV,COTE D'IVOIRE,433.3326,437.121,440.1598,443.1986,446.2374,449.2762,452.315,460.8378,469.3606,477.8834,486.4062,494.929,484.9668,475.0046,465.0424,455.0802,445.118,433.1716,421.2252,409.2788,397.3324,385.386,379.0902,372.7944,366.4986,360.2028,353.907,356.1778,358.4486,360.7194,362.9902,365.261,369.642,374.023,378.404,382.785,387.166,393.8828,400.5996,407.3164,414.0332,420.75,428.8462,436.9424,445.0386,453.1348,461.231,463.584,465.937,468.29,470.643,472.996,476.8794,480.7628
CMR,CAMEROON,374.49,378.776,383.191,387.606,392.021,396.436,400.851,404.833,408.815,412.797,416.779,420.761,414.4198,408.0786,401.7374,395.3962,389.055,382.1752,375.2954,368.4156,361.5358,354.656,353.1046,351.5532,350.0018,348.4504,346.899,348.8232,350.7474,352.6716,354.5958,356.52,360.7222,364.9244,369.1266,373.3288,377.531,382.5652,387.5994,392.6336,397.6678,402.702,407.6612,412.6204,417.5796,422.5388,427.498,432.3694,437.2408,442.1122,446.9836,451.855,456.931,462.007
COD,"CONGO, THE DRC",379.0062,381.709,384.5434,387.3778,390.2122,393.0466,395.881,397.0488,398.2166,399.3844,400.5522,401.72,405.1644,408.6088,412.0532,415.4976,418.942,415.4976,412.0532,408.6088,405.1644,401.72,402.1962,402.6724,403.1486,403.6248,404.101,405.1948,406.2886,407.3824,408.4762,409.57,411.725,413.88,416.035,418.19,420.345,422.263,424.181,426.099,428.017,429.935,433.942,437.949,441.956,445.963,449.97,453.0504,456.1308,459.2112,462.2916,465.372,467.851,470.33
COG,CONGO,318.772,321.94,329.4588,336.9776,344.4964,352.0152,359.534,369.8248,380.1156,390.4064,400.6972,410.988,414.3504,417.7128,421.0752,424.4376,427.8,423.5408,419.2816,415.0224,410.7632,406.504,393.6072,380.7104,367.8136,354.9168,342.02,336.7612,331.5024,326.2436,320.9848,315.726,317.173,318.62,320.067,321.514,322.961,325.5716,328.1822,330.7928,333.4034,336.014,339.506,342.998,346.49,349.982,353.474,357.7112,361.9484,366.1856,370.4228,374.66,380.6642,386.6684
COL,COLOMBIA,194.462,196.883,198.8164,200.7498,202.6832,204.6166,206.55,209.7782,213.0064,216.2346,219.4628,222.691,226.3918,230.0926,233.7934,237.4942,241.195,246.7278,252.2606,257.7934,263.3262,268.859,265.4746,262.0902,258.7058,255.3214,251.937,251.0396,250.1422,249.2448,248.3474,247.45,248.7262,250.0024,251.2786,252.5548,253.831,255.25,256.669,258.088,259.507,260.926,262.747,264.568,266.389,268.21,270.031,273.5774,277.1238,280.6702,284.2166,287.763,292.6526,297.5422
COM,COMOROS,278.6312,280.78,283.1578,285.5356,287.9134,290.2912,292.669,295.697,298.725,301.753,304.781,307.809,310.8396,313.8702,316.9008,319.9314,322.962,326.0026,329.0432,332.0838,335.1244,338.165,341.1746,344.1842,347.1938,350.2034,353.213,357.7054,362.1978,366.6902,371.1826,375.675,380.123,384.571,389.019,393.467,397.915,402.3232,406.7314,411.1396,415.5478,419.956,424.3368,428.7176,433.0984,437.4792,441.86,446.6616,451.4632,456.2648,461.0664,465.868,470.7144,475.5608
CPV,CAPE VERDE,140.183,144.36,148.9926,153.6252,158.2578,162.8904,167.523,173.1512,178.7794,184.4076,190.0358,195.664,200.648,205.632,210.616,215.6,220.584,223.7416,226.8992,230.0568,233.2144,236.372,237.7322,239.0924,240.4526,241.8128,243.173,247.7358,252.2986,256.8614,261.4242,265.987,272.8658,279.7446,286.6234,293.5022,300.381,309.2756,318.1702,327.0648,335.9594,344.854,355.3114,365.7688,376.2262,386.6836,397.141,399.1502,401.1594,403.1686,405.1778,407.187,408.4862,409.7854
CRI,COSTA RICA,101.5726,103.842,105.9142,107.9864,110.0586,112.1308,114.203,115.5924,116.9818,118.3712,119.7606,121.15,122.2654,123.3808,124.4962,125.6116,126.727,127.1836,127.6402,128.0968,128.5534,129.01,129.5016,129.9932,130.4848,130.9764,131.468,133.66,135.852,138.044,140.236,142.428,148.0074,153.5868,159.1662,164.7456,170.325,173.9008,177.4766,181.0524,184.6282,188.204,189.5406,190.8772,192.2138,193.5504,194.887,196.9406,198.9942,201.0478,203.1014,205.155,212.2068,219.2586
