Country code,Country name,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979,1978,1977,1976,1975,1974,1973,1972,1971,1970,1969,1968,1967,1966,1965,1964,1963,1962,1961,1960,1959,1958,1957,1956,1955,1954,1953,1952,1951,1950,1949,1948,1947,1946,1945,1944,1943,1942,1941,1940,1939,1938,1937,1936,1935,1934,1933,1932,1931,1930,1929,1928,1927,1926,1925,1924,1923,1922,1921,1920,1919,1918,1917,1916,1915,1914,1913,1912,1911,1910,1909,1908,1907,1906,1905,1904,1903,1902,1901,1900
CHN,CHINA,1.9364371E7,4.4605865E7,1.24273739E8,1.80658297E8,1.28764797E8,1.36976687E8,1.20118869E8,8.874696E7,8.3955839E7,5.3102174E7,2.19643698E8,2.85295604E8,4.0367593E7,2.5402607E7,1.31416048E8,2.54901904E8,1.5841799E7,1.75304799E8,1.43224172E8,2.26378746E8,8835022.0,2.8930243E7,2.18880139E8,4.827722E7,1.38272407E8,7.6257544E7,2597952.0,1.4446346E7,236019.0,28040.0,42063.0,816168.0,3212990.0,107200.0,6004.0,6000200.0,,164000.0,0.0,0.0,,,,14000.0,0.0,,,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,113.0,300.0,,,0.0,1.0E7,0.0,0.0,,,,,,0.0,,,0.0,0.0,0.0,,1.003E7,0.0,3600000.0,0.0,0.0,,,0.0,0.0,,0.0,,0.0,0.0,0.0,2.0E7,,0.0,635000.0,0.0,3000000.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,
CIV,COTE D'IVOIRE,,0.0,28.0,6425.0,10006.0,450.0,2275.0,95451.0,210.0,30.0,,861.0,3182.0,20.0,71.0,80.0,0.0,0.0,2027.0,0.0,117.0,,50.0,,7070.0,,0.0,,,,,,,0.0,,,0.0,,,,,,,1500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMR,CAMEROON,,51980.0,16736.0,7699.0,1761.0,25022.0,10351.0,83.0,1412.0,2924.0,144.0,,2042.0,635.0,4115.0,2236.0,479.0,2825.0,4.0,0.0,4070.0,7865.0,1543.0,187072.0,550.0,1340.0,0.0,10437.0,,0.0,,,,,,,,,,,,,400000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COD,"CONGO, THE DRC",0.0,28161.0,36962.0,78861.0,21547.0,18248.0,2414.0,91229.0,10536.0,46566.0,44697.0,652315.0,24170.0,338.0,78072.0,13884.0,36917.0,2454.0,0.0,50.0,,311.0,0.0,27500.0,148.0,,0.0,,,,300000.0,,,,,500000.0,60000.0,262.0,,,,,,,,768.0,,3600.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COG,CONGO,,23024.0,10819.0,924.0,,630.0,25000.0,8030.0,3507.0,32.0,2.0,53015.0,113.0,31.0,42099.0,20000.0,485.0,,,16500.0,0.0,0.0,300.0,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,668.0,,,,,,,0.0,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COK,COOK ISLANDS,,,,2202.0,1247.0,,,,608.0,,,,744.0,,,,1023.0,,,,,0.0,,1200.0,,,2000.0,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COL,COLOMBIA,12015.0,151932.0,1487880.0,2796936.0,31850.0,1274240.0,1613606.0,238465.0,605028.0,540049.0,74886.0,126538.0,13747.0,79457.0,1360763.0,100028.0,15003.0,183310.0,104204.0,55785.0,86876.0,1646.0,15131.0,20645.0,4307.0,232700.0,7286.0,278000.0,12700.0,0.0,36740.0,250.0,14000.0,550.0,113642.0,,122.0,46.0,,1000.0,5172.0,0.0,0.0,5112006.0,70000.0,1083.0,40200.0,23011.0,0.0,,,0.0,,,0.0,0.0,,0.0,,0.0,,,,40000.0,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,
COM,COMOROS,0.0,65156.0,74.0,,2512.0,,1490.0,43.0,286282.0,,300.0,0.0,,,140.0,3200.0,,0.0,,,,,200.0,,450.0,,50000.0,,35000.0,,30052.0,,0.0,,,,25000.0,,300000.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,
CPV,CAPE VERDE,,,,,20147.0,,1.0,,,0.0,,30000.0,,,0.0,10000.0,,,6306.0,12344.0,,0.0,,,,0.0,,,,5500.0,,2222.0,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,0.0
CRI,COSTA RICA,,10285.0,46695.0,3106.0,128618.0,209498.0,24500.0,,4072.0,3336.0,2635.0,95040.0,1437.0,200.0,9993.0,17150.0,,736000.0,12848.0,2556.0,38691.0,1200.0,195590.0,14609.0,,140000.0,,,,0.0,5535.0,,,1350.0,,,,70000.0,0.0,,3745.0,,,15240.0,4603.0,15671.0,,,,,5200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,
CUB,CUBA,,123496.0,87.0,0.0,30.0,519464.0,210561.0,1768.0,2600000.0,247250.0,671.0,359044.0,5900012.0,675.0,255063.0,967011.0,35894.0,347542.0,33344.0,149314.0,771133.0,14996.0,200.0,12374.0,163.0,151599.0,0.0,7500.0,501891.0,,164575.0,180000.0,0.0,0.0,,170.0,18000.0,8.0,,,,,,0.0,,0.0,,174030.0,,0.0,0.0,,,,,,,,,,,,,,,300.0,,,,0.0,,,,,,,,,500.0,,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
CYM,CAYMAN ISLANDS,,,,,,0.0,,,,0.0,,300.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CYP,CYPRUS,,,62.0,,,,0.0,,8.0,10.0,30.0,,,400.0,,792.0,,280.0,1865.0,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,,0.0,3100.0,,,,,,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZE,CZECH REPUBLIC,1300000.0,0.0,,1400.0,14462.0,100.0,0.0,4315.0,3.0,,35.0,200000.0,,0.0,,0.0,102107.0,60.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEU,GERMANY,6350.0,9.0,0.0,346.0,0.0,208.0,160.0,1328.0,617.0,150.0,0.0,331107.0,130.0,121.0,100000.0,45.0,5200.0,62.0,30400.0,0.0,100000.0,1609.0,4.0,182.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,1500.0,,,0.0,0.0,0.0,0.0,,0.0,,,,,0.0,,,,,,,,
DJI,DJIBOUTI,,,,200258.0,24.0,340000.0,43312.0,49.0,150000.0,100000.0,,350.0,,419.0,100000.0,2000.0,827.0,100000.0,775.0,120239.0,20000.0,,,,150300.0,30000.0,,,,,80000.0,,102000.0,145000.0,90.0,106000.0,91000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DMA,DOMINICA,,,240.0,,,,7530.0,,,100.0,,,175.0,,715.0,0.0,,,5001.0,,,,,,710.0,,,,,10000.0,,,,0.0,72100.0,,,,,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNK,DENMARK,,,,0.0,,,0.0,,0.0,2072.0,,0.0,0.0,,0.0,,,,,,,0.0,100.0,0.0,0.0,,,,0.0,0.0,0.0,,0.0,0.0,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
DOM,DOMINICAN REPUBLIC,,83194.0,55420.0,64521.0,17835.0,17023.0,162763.0,,2466.0,24292.0,77588.0,1770.0,0.0,,0.0,975595.0,,26000.0,4082.0,0.0,20000.0,0.0,0.0,0.0,40.0,1191150.0,0.0,2000.0,895.0,,0.0,,150000.0,0.0,1555000.0,0.0,,,,,,,,,,240000.0,,12942.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,12000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DZA,ALGERIA,,103.0,793.0,69.0,2628.0,59111.0,1305.0,60331.0,1894.0,28061.0,210551.0,2384.0,45423.0,215.0,15933.0,,3364.0,208.0,0.0,44028.0,712.0,4508.0,204.0,0.0,12184.0,10364.0,3152.0,,15000.0,1470.0,,9264.0,50.0,930407.0,30000.0,,,,,20000.0,146000.0,,,,200237.0,,30000.0,35912.0,49350.0,200.0,45400.0,,,1250.0,0.0,,,,,129250.0,,0.0,,,,,,0.0,,,,0.0,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,
