Country code,Country name,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979,1978
NOR,NORWAY,,,,26.83,,,26.48,,,30.17,,,,25.79,,,,,27.64,,,,25.23,,,,,24.67,,,,,,,,
NPL,NEPAL,,,,32.82,,,,,,,43.83,,,,,,,35.23,,,,,,,,,,,30.06,,,,,,,
NZL,NEW ZEALAND,,,,,,,,,,,,,,,,,36.17,,,,,,,,,,,,,,,,,,,
PAK,PAKISTAN,,,29.63,,,30.02,,32.74,31.18,,,30.39,,,33.02,,28.65,,,,,,33.23,,,,33.35,,,,,,,,,
PAN,PANAMA,,51.9,51.83,51.92,52.03,52.63,52.97,55.06,54.0,55.0,56.31,56.64,57.3,57.66,56.46,57.56,58.26,,57.81,,,,58.19,,58.91,,,,,,,,,,48.74,
PER,PERU,,45.33,45.67,48.14,49.05,48.95,51.65,50.87,51.11,50.34,55.22,55.64,54.06,50.75,56.66,56.17,34.78,,,44.87,,,,,,,,45.72,,,,,,,,
PHL,PHILIPPINES,,43.03,,,42.98,,,44.04,,,44.48,,,46.09,,,46.16,,,42.89,,,43.82,,,40.63,,,41.04,,,,,,,
PNG,PAPUA NEW GUINEA,,,,,,,,,,,,,,,,,,50.88,,,,,,,,,,,,,,,,,,
POL,POLAND,,,32.73,33.75,34.07,34.21,34.02,34.13,34.92,35.88,,34.05,32.84,32.93,33.08,32.85,,32.66,,,32.32,26.7,,,26.89,,25.53,,25.16,,,,,,,
PRT,PORTUGAL,,,,,,,,,,,,,,,,,38.45,,,,,,,,,,,,,,,,,,,
PRY,PARAGUAY,,48.01,52.6,52.42,51.04,52.05,53.31,54.85,52.45,54.0,56.88,56.67,56.15,,56.95,56.68,,,58.17,,,,,40.84,,,,,,,,,,,,
PSE,STATE OF PALESTINE,,,,,35.5,,38.65,,,33.97,,,,,,,,,,,,,,,,,,,,,,,,,,
QAT,QATAR,,,,,,,41.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROU,ROMANIA,,27.33,27.42,24.24,30.0,31.15,32.1,32.11,31.57,31.66,31.06,31.46,30.57,30.25,29.42,29.44,,,,28.2,,25.46,,,23.31,,,,,,,,,,,
RUS,RUSSIA,,,,,40.11,42.27,43.71,42.13,37.51,37.14,37.26,35.7,39.6,,37.48,,,46.11,,,48.38,,,,,23.8,,,,,,,,,,
RWA,RWANDA,,,50.82,,,,,53.09,,,,,,51.51,,,,,,,,,,,,,,,28.9,,,,,,,
SDN,SUDAN,,,,,35.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEN,SENEGAL,,,40.3,,,,,,39.19,,,,41.25,,,,,,,41.44,,,54.14,,,,,,,,,,,,,
SGP,SINGAPORE,,,,,,,,,,,,,,,,42.48,,,,,,,,,,,,,,,,,,,,
SLE,SIERRA LEONE,,,35.35,,,,,,,,42.52,,,,,,,,,,,,,,,,,,,,,,,,,
SLV,EL SALVADOR,,41.8,42.43,44.53,48.33,46.75,46.97,46.19,50.33,49.0,50.72,53.1,53.6,52.85,52.24,54.52,,51.2,49.88,,,,53.97,,,,,,,,,,,,,
SRB,SERBIA,,,,29.62,27.8,28.16,29.4,29.63,33.4,32.94,32.81,32.74,,,,,,,,,,,,,,,,,,,,,,,,
SSD,SOUTH SUDAN,,,,,45.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP,SAO TOME AND PRINCIPE,,,,33.87,,,,,,,,,50.82,,,,,,,,,,,,,,,,,,,,,,,
SUR,SURINAME,,,,,,,,,,,,,,,52.88,,,,,,,,,,,,,,,,,,,,,
SVK,SLOVAKIA (SLOVAK REPUBLIC),,,26.58,27.31,26.0,26.86,28.13,27.66,29.84,29.08,,,,,,,,25.81,,,,19.49,,,,19.54,,,,,,,,,,
SVN,SLOVENIA,,,24.87,24.94,,23.72,,24.48,24.63,31.15,30.82,29.15,,,,28.41,,,,,29.18,,,,,,23.6,,,,,,,,,
SWE,SWEDEN,,,,,,,,,26.08,,,,,25.0,,,,,25.54,,,25.42,,,,,23.71,,,,,,23.29,,,
SWZ,SWAZILAND,,,,51.49,,,,,,,,,50.68,,,,,,60.65,,,,,,,,,,,,,,,,,
SYC,SEYCHELLES,,,,,,,65.77,,,,,,,42.73,,,,,,,,,,,,,,,,,,,,,,
SYR,SYRIAN ARAB REPUBLIC,,,,,,,,,,35.78,,,,,,,,,,,,,,,,,,,,,,,,,,
TCD,CHAD,,,43.3,,,,,,,,39.78,,,,,,,,,,,,,,,,,,,,,,,,,
TGO,TOGO,,,39.29,,,,,34.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THA,THAILAND,,,,39.37,40.02,40.51,,42.35,,,,41.98,,42.84,43.09,41.46,,42.9,,43.47,,47.86,,45.27,,43.84,,,,,,,45.22,,,
TJK,TAJIKISTAN,,,,,30.83,,32.55,,,33.61,32.62,,,,29.01,,,,,,,,,,,,,,,,,,,,,
TKM,TURKMENISTAN,,,,,,,,,,,,,,,,40.77,,,,,35.38,,,,,26.39,,,,,,,,,,
TLS,EAST TIMOR,,,,,,,30.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TTO,TRINIDAD AND TOBAGO,,,,,,,,,,,,,,,,,,,,,,40.27,,,,42.6,,,,,,,,,,
TUN,TUNISIA,,,,36.06,,,,,41.42,,,,,40.81,,,,,41.66,,,,,40.24,,,,,43.43,,,,,,,
TUR,TURKEY,,,40.04,40.03,38.73,38.95,39.26,40.34,42.56,42.67,43.42,42.71,,,,,,,,41.53,,,,,,,43.57,,,,,,,,,
TZA,"TANZANIA, UNITED REPUBLIC OF",,37.82,,,,,37.58,,,,,,,34.62,,,,,,,,33.83,,,,,,,,,,,,,,
UGA,UGANDA,44.55,,,,44.3,,,42.62,,,,45.77,,,43.07,,,37.13,,,,42.62,,,44.36,,,,,,,,,,,
UKR,UKRAINE,,,,25.62,26.44,27.51,29.56,29.65,28.21,28.11,28.05,28.28,,,28.96,,,35.12,39.29,,,25.71,,,,23.31,,,,,,,,,,
URY,URUGUAY,,41.32,43.43,45.32,46.28,46.27,47.63,47.2,45.87,47.13,46.22,46.66,46.17,44.39,,43.81,42.73,42.66,42.11,,,40.08,,,42.37,,,,,,,,43.65,,,
USA,UNITED STATES,,,,41.12,,,41.64,,,40.57,,,,40.81,,,40.79,,,38.9,,,37.58,,,,,36.96,,,,,,,,
UZB,UZBEKISTAN,,,,,,,,,,,36.72,34.55,,,,45.28,,,,,,,,,,24.95,,,,,,,,,,
VEN,VENEZUELA,,,,,,,,44.77,49.46,47.5,48.1,49.01,47.23,,47.76,48.06,,,47.21,,,42.1,,,43.84,,53.45,,,,,,55.61,,,
VNM,VIET NAM,,35.62,,39.25,,35.57,,35.75,,36.81,,37.55,,,,35.52,,,,,35.68,,,,,,,,,,,,,,,
YEM,YEMEN,,,,,,,,,37.69,,,,,,,33.44,,,,,,,,,,,,,,,,,,,,
ZAF,SOUTH AFRICA,,,65.02,,63.14,,,67.4,,,,,,57.77,,,,,56.59,,59.33,,,,,,,,,,,,,,,
ZMB,ZAMBIA,,,,57.49,,,,54.63,,50.74,42.08,,,,,53.44,,49.79,,,52.61,,,,,,,,,,,,,,,
ZWE,ZIMBABWE,,,,,,,,,,,,,,,,,,,50.1,,,,,,,,,,,,,,,,,
