Country code,Country name,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980
MYS,MALAYSIA,,,5.8,4.1,4.5,4.7,,,,,,6.0,,,,,,,,,,,,,,,,,,,,5.6
NAM,NAMIBIA,,8.1,,6.4,,6.0,,,,,,7.9,,,,,,,,,,,,,,,,,,,,
NER,NIGER,,3.8,4.6,3.7,4.0,3.3,,,,,,3.2,,,,,,,,,,2.9,,,,,,,,,,
NIC,NICARAGUA,,,,,,,,,,,,3.9,,,,,,,,,,,,,,,,,,,,3.3
NLD,NETHERLANDS,,,5.9,5.5,5.3,5.5,5.5,,,,,5.0,,,,,,,,,,5.6,,,,,,,,,,6.4
NOR,NORWAY,,,7.3,6.4,6.7,6.5,7.0,,,,,6.6,,,,,,,,,,6.4,,,,,,,,,,5.8
NPL,NEPAL,,4.7,4.7,3.8,3.5,3.6,3.4,,,,,3.0,,,,,,,,,,,,,,,,,,,,
NZL,NEW ZEALAND,,7.2,6.4,5.6,6.0,6.0,6.4,,,,,,,,,,,,,,,,,,,,,,,,,4.3
OMN,OMAN,,,4.3,,,3.9,3.5,,,,,3.1,,,,,,,,,,2.8,,,,,,,,,,
PAK,PAKISTAN,,2.4,2.7,2.9,2.8,2.6,2.3,,,,,1.8,,,,,,,,,,2.5,,,,,,,,,,2.1
PAN,PANAMA,,,,3.8,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,4.3
PER,PERU,,2.7,,2.7,2.5,2.5,2.7,,,,,,,,,,,,,,,,,,,,,,,,,
PHL,PHILIPPINES,,,2.7,2.7,2.6,2.5,2.4,,,,,3.3,,,,,,,,,,,,,,,,,,,,1.7
PLW,PALAU,,,,,,,,,,,,9.8,,,,,,,,,,,,,,,,,,,,
POL,POLAND,,,5.1,5.1,4.9,5.3,5.5,,,,,5.0,,,,,,,,,,,,,,,,,,,,
PRT,PORTUGAL,,,5.8,4.9,,5.1,5.2,,,,,5.2,,,,,,,,,,3.6,,,,,,,,,,3.1
PRY,PARAGUAY,,,,,4.0,,,,,,,5.3,,,,,,,,,,1.1,,,,,,,,,,
QAT,QATAR,,,,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROU,ROMANIA,,,,,4.3,,3.5,,,,,2.9,,,,,,,,,,,,,,,,,,,,
RUS,RUSSIA,,,,4.1,,3.9,3.8,,,,,2.9,,,,,,,,,,,,,,,,,,,,
RWA,RWANDA,4.7,5.0,,3.8,4.3,,3.1,,,,,4.1,,,,,,,,,,,,,,,,,,,,2.7
SAU,SAUDI ARABIA,,,,5.6,6.4,6.2,5.7,,,,,5.9,,,,,,,,,,,,,,,,,,,,
SDN,SUDAN,,,,,,,,,,,,,,,,,,,,,,8.5,,,,,,,,,,
SEN,SENEGAL,,5.6,5.6,5.0,,4.8,5.1,,,,,3.2,,,,,,,,,,,,,,,,,,,,
SGP,SINGAPORE,,3.3,3.1,2.6,,,,,,,,3.4,,,,,,,,,,,,,,,,,,,,2.6
SLB,SOLOMON ISLANDS,,,,6.1,5.9,,,,,,,,,,,,,,,,,,,,,,,,,,,
SLE,SIERRA LEONE,,,4.3,3.1,3.3,,3.7,,,,,4.9,,,,,,,,,,,,,,,,,,,,
SLV,EL SALVADOR,,3.2,,3.7,3.1,3.0,2.7,,,,,2.5,,,,,,,,,,,,,,,,,,,,
SMR,SAN MARINO,,,,,,,,,,,,,,,,,,,,,,3.2,,,,,,,,,,
SRB,SERBIA,,,5.0,4.9,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,
SVK,SLOVAKIA (SLOVAK REPUBLIC),,,4.1,3.6,3.6,3.8,3.8,,,,,3.9,,,,,,,,,,,,,,,,,,,,
SVN,SLOVENIA,,,5.7,5.2,5.2,5.7,5.7,,,,,,,,,,,,,,,,,,,,,,,,,
SWE,SWEDEN,,,7.3,6.8,6.6,6.7,6.9,,,,,7.2,,,,,,,,,,5.6,,,,,,,,,,7.0
SWZ,SWAZILAND,,7.4,7.1,7.5,,8.1,7.4,,,,,5.5,,,,,,,,,,5.5,,,,,,,,,,5.3
SYC,SEYCHELLES,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,
SYR,SYRIAN ARAB REPUBLIC,,,,,4.9,5.3,,,,,,,,,,,,,,,,,,,,,,,,,,4.6
TCD,CHAD,,2.8,3.1,,,,2.1,,,,,2.6,,,,,,,,,,,,,,,,,,,,
TGO,TOGO,,4.5,4.1,3.4,3.7,3.7,3.4,,,,,4.4,,,,,,,,,,,,,,,,,,,,
THA,THAILAND,,3.8,4.1,3.8,3.8,4.3,4.2,,,,,5.4,,,,,,,,,,,,,,,,,,,,2.6
TJK,TAJIKISTAN,,4.0,4.1,3.5,3.4,3.4,3.5,,,,,2.3,,,,,,,,,,,,,,,,,,,,
TKM,TURKMENISTAN,,,,,,,,,,,,,,,,,,,,,,4.3,,,,,,,,,,
TLS,EAST TIMOR,,14.0,15.7,11.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TON,TONGA,,,,,,,,,,,,4.9,,,,,,,,,,,,,,,,,,,,
TTO,TRINIDAD AND TOBAGO,,,,,,,,,,,,3.8,,,,,,,,,,3.7,,,,,,,,,,3.8
TUN,TUNISIA,,,,6.3,6.5,6.4,6.5,,,,,6.2,,,,,,,,,,5.8,,,,,,,,,,5.2
TUR,TURKEY,,,,,,2.9,,,,,,2.6,,,,,,,,,,2.1,,,,,,,,,,
TUV,TUVALU,,,,,,,,,,,,,,,,,,,,,,7.6,,,,,,,,,,
TZA,"TANZANIA, UNITED REPUBLIC OF",,6.2,,6.8,,,,,,,,,,,,,,,,,,2.1,,,,,,,,,,
UGA,UGANDA,,,3.2,3.8,,,,,,,,2.5,,,,,,,,,,,,,,,,,,,,
UKR,UKRAINE,,,,,5.3,6.2,6.1,,,,,4.2,,,,,,,,,,,,,,,,,,,,
URY,URUGUAY,,,,,,2.9,2.7,,,,,2.4,,,,,,,,,,,,,,,,,,,,2.2
USA,UNITED STATES,,,5.4,5.5,5.5,5.6,5.3,,,,,,,,,,,,,,,5.0,,,,,,,,,,
UZB,UZBEKISTAN,,,,,,,,,,,,,,,,,,,,,,9.5,,,,,,,,,,
VCT,SAINT VINCENT AND THE GRENADINES,,4.9,5.5,,5.7,,6.3,,,,,7.9,,,,,,,,,,,,,,,,,,,,
VEN,VENEZUELA,,,,,3.7,3.7,,,,,,,,,,,,,,,,2.5,,,,,,,,,,3.9
VNM,VIET NAM,,,,5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VUT,VANUATU,,,5.2,6.6,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,
WSM,SAMOA,,,,5.3,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,
YEM,YEMEN,,,,5.2,,,,,,,,9.7,,,,,,,,,,,,,,,,,,,,
ZAF,SOUTH AFRICA,,6.0,5.5,5.1,5.2,5.3,5.3,,,,,5.6,,,,,,,,,,5.3,,,,,,,,,,
ZMB,ZAMBIA,,,,1.3,1.5,,2.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,4.1
ZWE,ZIMBABWE,,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
