Country code,Country name,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980
GUY,GUYANA,,6.0,35.0,33.0,30.0,21.0,15.0,2.0,55.0,147.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,9.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HND,HONDURAS,0.0,251.0,149.0,242.0,185.0,83.0,182.0,56.0,6.0,62.0,1.0,10.0,50.0,65.0,18.0,116.0,214.0,2.0,6.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HTI,HAITI,0.0,996.0,1724.0,1969.0,5872.0,901.0,1421.0,538.0,840.0,813.0,1275.0,63.0,18.0,1.0,4.0,5.0,9.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0
IDN,INDONESIA,0.0,324.0,387.0,252.0,545.0,1201.0,249.0,896.0,2237.0,3537.0,531.0,563.0,674.0,503.0,956.0,548.0,93.0,88.0,8.0,11.0,8.0,1.0,2.0,3.0,3.0,2.0,0.0,4.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0
IND,INDIA,,822.0,459.0,369.0,455.0,654.0,680.0,482.0,432.0,1944.0,515.0,243.0,269.0,804.0,256.0,276.0,43.0,17.0,22.0,3.0,2.0,3.0,3.0,2.0,1.0,1.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
IRN,IRAN (ISLAMIC REPUBLIC OF),,79.0,85.0,18.0,23.0,4.0,13.0,31.0,86.0,166.0,557.0,480.0,132.0,65.0,38.0,22.0,9.0,74.0,7.0,0.0,6.0,2.0,1.0,2.0,4.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
IRQ,IRAQ,0.0,795.0,668.0,703.0,994.0,1398.0,1606.0,1872.0,1248.0,1396.0,1572.0,4175.0,371.0,302.0,287.0,298.0,253.0,171.0,123.0,3.0,0.0,1.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JAM,JAMAICA,0.0,15.0,23.0,6.0,34.0,28.0,79.0,116.0,20.0,97.0,88.0,3.0,30.0,6.0,2.0,1.0,0.0,0.0,3.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
JOR,JORDAN,0.0,518.0,307.0,21.0,22.0,35.0,35.0,17.0,8.0,8.0,8.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JPN,JAPAN,,83.0,150.0,1210.0,1.0,6.0,2.0,5.0,2.0,2.0,45.0,10.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
