Country code,Country name,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980
POL,POLAND,19617.0,19725.0,19702.0,19764.0,19627.0,19419.0,19429.0,19599.0,19576.0,19900.0,20223.0,20134.0,22560.0,22891.0,,22285.0,22285.0,23986.0,24313.0,24926.0,23399.0,25848.0,26228.0,26644.0,26545.0,26637.0,27064.0,27092.0,27070.0,27176.0,27158.0,27172.0,27185.0
PRT,PORTUGAL,2541.0,2793.0,2843.0,2842.0,2842.0,2838.0,2839.0,2839.0,2849.0,2818.0,2881.0,2814.0,2814.0,2813.0,2856.0,2856.0,2850.0,2850.0,2699.0,3062.0,3062.0,3116.0,3064.0,3064.0,3608.0,3608.0,3603.0,3603.0,3613.0,3613.0,3613.0,3616.0,3609.0
ROU,ROMANIA,10777.0,10777.0,13620.0,10776.0,10784.0,10646.0,10781.0,10781.0,10844.0,11077.0,11364.0,11364.0,11364.0,11364.0,11364.0,11380.0,11376.0,11376.0,11374.0,11380.0,11430.0,11365.0,11348.0,11343.0,11298.0,11275.0,11221.0,11192.0,11169.0,11108.0,11125.0,11093.0,11110.0
RUS,RUSSIA,84249.0,85167.0,85292.0,85194.0,84158.0,84158.0,92217.0,85542.0,85286.0,85500.0,85542.0,85835.0,86075.0,86000.0,86151.0,86660.0,87543.0,87543.0,87543.0,87543.0,87500.0,85969.0,85969.0,,,,,,,,,,82600.0
SAU,SAUDI ARABIA,1412.0,1412.0,1020.0,1020.0,2758.0,1412.0,1020.0,1020.0,1390.0,1390.0,1078.0,1390.0,958.0,1018.0,1018.0,1018.0,1018.0,1018.0,1018.0,1018.0,1018.0,1005.0,1005.0,1017.0,1017.0,1016.0,1028.0,1028.0,1028.0,842.0,561.0,561.0,563.0
SDN,SUDAN,4313.0,4708.0,4508.0,4508.0,4578.0,5478.0,5478.0,5478.0,5478.0,,4578.0,5901.0,4599.0,,,4595.0,,4595.0,,,,4784.0,4784.0,,,,4764.0,4786.0,4786.0,4786.0,4786.0,4786.0,4786.0
SEN,SENEGAL,,,,,,,,,,,,,906.0,,,906.0,,906.0,906.0,904.0,906.0,906.0,906.0,906.0,906.0,904.0,1034.0,1034.0,1034.0,1034.0,1034.0,1034.0,1034.0
SRB,SERBIA,4048.0,4058.0,4058.0,4058.0,4058.0,4057.0,4067.0,4057.0,3809.0,3809.0,3900.0,3900.0,4058.0,4059.0,4059.0,4031.0,4031.0,4031.0,4281.0,3987.0,3960.0,4300.0,9490.0,9567.0,9349.0,9270.0,9246.0,9283.0,9279.0,9409.0,9389.0,9393.0,9465.0
SVK,SLOVAKIA (SLOVAK REPUBLIC),3593.0,3624.0,3587.0,3623.0,3592.0,3629.0,3658.0,3659.0,3660.0,3657.0,3657.0,3662.0,3662.0,3662.0,3667.0,3823.0,3673.0,3668.0,3665.0,3661.0,,,,,,,,,,,,,
SVN,SLOVENIA,1209.0,1209.0,1228.0,1228.0,1228.0,1228.0,1228.0,1228.0,1229.0,1229.0,1229.0,1229.0,1202.0,1201.0,1201.0,1201.0,1201.0,1201.0,1201.0,1201.0,1201.0,1201.0,1196.0,1196.0,1100.0,1100.0,1100.0,1058.0,1058.0,1058.0,1058.0,1058.0,1058.0
