Country code,Country name,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990
MOZ,MOZAMBIQUE,,,30331.0,30331.0,,,,,,,,30400.0,30400.0,30400.0,30400.0,30400.0,29900.0,29195.0,28700.0,28200.0,27600.0,27000.0
MRT,MAURITANIA,11415.0,10628.0,10560.0,,11066.0,11066.0,9144.0,8621.0,8394.0,8376.0,7991.0,7991.0,7660.0,7660.0,7660.0,7660.0,7600.0,7540.0,7480.0,7420.0,7360.0,7300.0
MUS,MAURITIUS,,2080.0,2066.0,2028.0,2028.0,2021.0,2020.0,2015.0,2015.0,2000.0,2000.0,1926.0,1910.0,1910.0,1905.0,1905.0,1899.0,1897.0,1930.0,1950.0,1831.0,1801.0
MWI,MALAWI,,,,,,,,,15451.0,,,,,,16451.0,14594.0,14594.0,14204.0,14157.0,14151.0,13819.0,10204.0
MYS,MALAYSIA,155427.0,144403.0,135226.0,122668.0,117711.0,90127.0,87025.0,77695.0,77403.0,72165.0,71814.0,66445.0,,,,,,,,,,
NAM,NAMIBIA,45645.0,44138.0,44428.0,43935.4,42260.8,42237.0,42237.0,42237.0,,42237.0,,66467.0,66102.0,63285.0,62846.0,64799.0,63251.0,63349.0,62595.0,65256.0,65218.0,65254.0
NCL,NEW CALEDONIA,,,,,,5622.0,,,,,,,,,,,,,,,,
NER,NIGER,,19267.0,18949.0,18949.0,18949.0,18550.0,18423.0,18387.0,15074.0,14657.0,14658.0,,10100.0,10100.0,10100.0,10100.0,9863.0,9566.0,13808.0,12066.0,12001.0,11696.0
NGA,NIGERIA,,,,,,,,193200.0,,,,,,194394.0,194394.0,193198.0,193198.0,171268.0,164000.0,147000.0,137000.0,122000.0
NIC,NICARAGUA,23647.09,22111.05,21975.37,21441.54,20332.81,19641.16,19137.642,19036.572,18658.29,18418.262,18712.0,19032.0,18946.0,18908.0,18447.0,18011.0,17146.0,15286.0,15300.0,15286.0,15286.0,15300.0
NLD,NETHERLANDS,137692.0,137347.0,136827.0,136135.0,135470.0,134948.0,134218.0,133383.0,132397.0,131531.0,130446.0,130446.0,116500.0,125575.0,124825.0,124100.0,122000.0,120000.0,118100.0,104831.0,104831.0,104590.0
NOR,NORWAY,93758.0,93509.0,93347.0,93247.0,92869.0,92946.0,92864.0,92513.0,91916.0,91852.0,91543.0,91454.0,90880.0,90741.0,91180.0,91323.0,90261.0,90178.0,90502.0,89737.0,89135.0,88922.0
NPL,NEPAL,,,,19875.0,19147.0,17782.0,17433.0,17281.0,15905.0,16834.0,,13223.0,13223.0,,,,,,,,,
NZL,NEW ZEALAND,94202.0,94094.0,93911.0,93805.0,93576.0,93460.0,93148.0,92760.0,92494.0,92514.0,92373.0,92053.0,92075.0,92142.0,91967.0,91864.0,91875.0,92700.0,92306.0,93348.0,93191.0,92674.0
OMN,OMAN,60230.0,59363.0,56361.0,53430.0,48874.0,41634.0,40203.0,38943.0,37227.0,35939.0,34965.0,33847.0,32800.0,32800.0,32800.0,32800.0,30489.0,29823.0,26753.0,26213.0,24121.0,23652.0
PAK,PAKISTAN,262567.0,261577.0,261561.0,258350.0,259189.0,260420.0,258214.0,256070.0,251845.0,251661.0,249972.0,248340.0,224908.0,215055.0,236521.0,224931.0,214232.0,203484.0,197093.0,190431.0,177410.0,169202.0
PAN,PANAMA,15326.7,15137.12,13973.94,13726.65,13701.95,13365.41,11983.92,11985.02,11985.47,12003.42,11717.0,11643.0,11400.0,11384.0,11301.0,11285.0,10781.0,10303.0,10146.0,10103.0,9956.0,9810.0
PER,PERU,129161.55,84244.9,84026.09,81786.87,80325.0,79506.44,78506.44,78396.0,78397.0,78319.0,78215.0,78213.0,78127.0,78112.0,75726.0,73766.0,73439.0,69942.0,68600.0,67300.0,66000.0,64700.0
PHL,PHILIPPINES,,,,,,,,,201800.60953125,201823.84,201799.0,201427.0,200031.0,199950.0,161313.0,161264.0,160970.0,160948.0,160882.0,160843.0,160710.0,160558.0
PNG,PAPUA NEW GUINEA,,,,,,,,,,,,19600.0,19600.0,19600.0,19600.0,19600.0,19400.0,19200.0,19100.0,18900.0,18700.0,18500.0
POL,POLAND,412264.0,406122.1,384830.0,383313.0,383053.1,382615.4,381462.8,379456.0,377289.0,372339.0,377626.0,372977.0,381046.0,381046.0,377048.0,374990.0,372479.0,370510.0,368364.0,367000.0,365365.0,363116.0
PRI,PUERTO RICO,,26855.819,26836.511,26677.0,26388.0,26184.0,25738.0,25645.0,25331.0,24433.0,24023.0,23933.0,,,,,,,,,,
PRK,"KOREA, D.P.R.O.",,,,,,25554.0,,,,,,31200.0,31200.0,31200.0,31200.0,31200.0,30600.0,30000.0,29500.0,28900.0,28300.0,27800.0
PRT,PORTUGAL,22161.0,21912.0,21594.0,21472.0,21338.0,21258.0,20509.0,20676.0,20399.0,20167.0,19657.0,19657.0,68732.0,,,,68732.0,67511.0,68901.0,67719.0,66595.0,65500.0
PRY,PARAGUAY,32404.0,32059.0,31730.0,31573.0,31265.0,28318.0,28576.0,28835.0,29094.0,27285.0,26593.0,25901.0,29500.0,,,29500.0,28900.0,28300.0,27800.0,27300.0,26700.0,26200.0
PSE,STATE OF PALESTINE,4686.0,4686.0,5588.0,,,5147.0,5000.0,4996.0,4945.0,3971.19995117188,,,,,,,,,,,,
QAT,QATAR,9125.0,9830.0,9966.0,9675.0,9198.0,7790.0,,,,,,,,,,,,,,,,
ROU,ROMANIA,111584.0,109391.0,108319.0,108002.0,107061.0,106017.0,105600.0,104457.0,102442.0,101908.0,101281.0,101138.0,193423.0,193248.0,193149.0,193148.0,153170.0,153139.0,153014.0,153014.0,153014.0,153014.0
RUS,RUSSIA,1094000.0,1004000.0,983000.0,939000.0,963000.0,932000.0,858000.0,870000.0,897000.0,898000.0,898000.0,898000.0,,,,,,,,,893000.0,884000.0
